n_samples,algorithm,ddim.schedule_params.jump_length,ddim.schedule_params.jump_n_sample,optimize_xt.num_iteration_optimize_xt,optimize_xt.lr_xt,lpips_score_sample0,psnr_score_sample0,ssim_score_sample0,mean time
1,o_ddim,5,2,2,0.01,0.110,18.439,0.763,1347.9289064407349
1,o_ddim,5,2,8,0.02,0.133,17.555,0.715,3940.3178753852844
1,repaint,5,1,8,0.01,0.142,15.788,0.757,405.45495438575745
1,ddim,10,3,8,0.01,0.217,11.623,0.645,46.01932334899902
1,ddim,5,3,2,0.03,0.217,11.623,0.645,44.43381357192993
1,o_ddim,5,1,5,0.02,0.141,17.623,0.728,711.679744720459
1,repaint,5,3,5,0.01,0.142,15.788,0.757,380.2145411968231
1,repaint,10,1,5,0.01,0.142,15.788,0.757,862.5383052825928
1,repaint,20,3,8,0.01,0.142,15.788,0.757,397.75590085983276
1,o_ddim,5,1,5,0.03,0.142,17.690,0.726,778.8773119449615
1,ddim,20,1,5,0.01,0.217,11.623,0.645,44.03544878959656
1,repaint,5,2,2,0.01,0.142,15.788,0.757,394.1844663619995
1,repaint,10,2,2,0.01,0.142,15.788,0.757,868.8586513996124
1,ddim,5,1,8,0.02,0.217,11.623,0.645,45.75927543640137
1,repaint,5,3,8,0.03,0.142,15.788,0.757,865.6833939552307
1,o_ddim,5,1,2,0.01,0.136,18.139,0.756,290.8186905384064
1,repaint,20,3,8,0.02,0.142,15.788,0.757,391.44659543037415
1,repaint,10,2,5,0.02,0.142,15.788,0.757,825.5801825523376
1,ddim,10,2,2,0.01,0.217,11.623,0.645,46.09998273849487
1,o_ddim,10,1,8,0.02,0.148,17.712,0.721,1051.2909162044525
1,ddim,5,3,8,0.01,0.217,11.623,0.645,46.147242069244385
1,repaint,5,3,2,0.02,0.142,15.788,0.757,388.7794940471649
1,ddim,20,1,5,0.03,0.217,11.623,0.645,44.407334327697754
1,repaint,20,1,5,0.02,0.142,15.788,0.757,867.9081304073334
1,o_ddim,10,2,5,0.01,0.148,14.734,0.731,1334.6722960472107
1,repaint,10,1,5,0.03,0.142,15.788,0.757,870.1974654197693
1,ddim,5,1,5,0.02,0.217,11.623,0.645,46.318479776382446
1,o_ddim,5,3,2,0.02,0.135,18.983,0.752,2048.013181209564
1,o_ddim,5,3,5,0.02,0.144,18.630,0.743,4736.796899318695
1,o_ddim,5,3,8,0.01,0.123,19.470,0.756,3516.8979063034058
1,repaint,20,1,5,0.03,0.142,15.788,0.757,855.1291627883911
1,ddim,10,1,2,0.03,0.217,11.623,0.645,42.14569354057312
1,repaint,10,3,5,0.03,0.142,15.788,0.757,846.6537053585052
1,o_ddim,5,2,8,0.01,0.118,17.944,0.744,2226.2868132591248
1,ddim,20,3,2,0.02,0.217,11.623,0.645,45.591325521469116
1,o_ddim,10,1,5,0.02,0.141,17.623,0.728,689.9041225910187
1,repaint,20,1,5,0.01,0.142,15.788,0.757,868.4502413272858
1,repaint,20,2,8,0.02,0.142,15.788,0.757,398.48410391807556
1,ddim,20,2,2,0.01,0.217,11.623,0.645,43.2473886013031
1,ddim,5,1,2,0.02,0.217,11.623,0.645,46.659345388412476
1,repaint,5,1,5,0.03,0.142,15.788,0.757,401.1394009590149
1,o_ddim,5,2,5,0.03,0.151,17.316,0.703,1592.6781866550446
1,ddim,5,3,5,0.03,0.217,11.623,0.645,44.29141020774841
1,o_ddim,5,1,8,0.03,0.146,17.785,0.723,2185.4273648262024
